# Completeness = 2999/1142679769
ra_ep2000	dec_ep2000	errHalfMaj	errHalfMin	errPosAng	ra	dec	source_id	ref_epoch	ra_error	dec_error	parallax	parallax_error	pm.ra	pm.ra_error	pm.dec	pm.dec_error	ra_dec_corr	duplicated_source	phot_g_n_obs	phot_g_mean_flux	phot_g_mean_flux_error	phot_g_mean_mag	phot_variable_flag	l	b
149.5948167800	72.8795112903	0.00066	0.00046	104	149.5937182477	72.8793627208	1125971340738999808	2015.0	0.295	0.500	7.53	0.51	-77.613	0.023	-35.657	0.029	0.316	0	142	1.01669e+08	3.10535e+05	5.507	NOT_AVAILABLE	137.9357101193	38.7968296798
146.8245724815	79.1365516821	0.00248	0.00149	0	146.8245724815	79.1365516821	1132202341856576384	2015.0	1.492	2.477							-0.829	1	65	6.31448e+07	1.09267e+05	6.024	NOT_AVAILABLE	132.3889882168	34.3507286250
167.5067144200	77.7867989149	0.00068	0.00061	0	167.5074326360	77.7867318805	1128686241106526848	2015.0	0.397	0.454	2.53	0.45	36.465	0.031	-16.088	0.034	0.479	0	150	5.65122e+07	4.50662e+04	6.144	NOT_AVAILABLE	129.5336253561	38.0107378353
105.0181702709	76.9773525556	0.00086	0.00078	0	105.0181702709	76.9773525556	1139835941847394304	2015.0	0.776	0.863							0.004	0	141	2.78277e+08	4.08596e+06	4.414	NOT_AVAILABLE	137.5519419072	26.8598978096
120.0487881499	73.9177618315	0.00038	0.00034	0	120.0487881499	73.9177618315	1135133983450453632	2015.0	0.342	0.381							0.016	0	145	1.77577e+08	1.27441e+06	4.901	NOT_AVAILABLE	140.8631270190	30.7304146010
124.8845385330	75.7569075936	0.00066	0.00047	-0	124.8850872558	75.7569736301	1137182751569485440	2015.0	0.369	0.529	11.16	0.59	32.401	0.019	15.849	0.027	0.295	0	154	1.23053e+08	4.86703e+05	5.300	NOT_AVAILABLE	138.4654988493	31.6066665877
115.1240238791	87.0199683955	0.00067	0.00064	90	115.1240238791	87.0199683955	1152025922321712128	2015.0	0.669	0.644							0.112	0	94	2.72041e+08	5.33772e+06	4.438	NOT_AVAILABLE	126.2218891245	27.7228947613
152.1432856560	83.9183720809	0.00046	0.00039	125	152.1432221737	83.9183977618	1147461501662498816	2015.0	0.215	0.284	1.59	0.33	-1.614	0.022	6.163	0.024	0.222	0	136	1.00648e+08	2.07190e+05	5.518	NOT_AVAILABLE	127.5890540366	31.6604503604
102.9470351020	86.6843403415	0.00066	0.00059	124	102.9471091677	86.6839008002	1152096767812244224	2015.0	0.191	0.275	7.87	0.24	1.028	0.037	-105.490	0.040	-0.137	0	62	5.45827e+07	3.55312e+04	6.182	NOT_AVAILABLE	126.6569975438	27.0841749634
228.7972444119	4.9393745162	0.00084	0.00082	90	228.7972444119	4.9393745162	1156084627761274880	2015.0	0.838	0.816							0.029	0	74	1.75599e+08	1.08185e+06	4.913	NOT_AVAILABLE	6.4589878146	49.2151877631
224.8463149920	4.5677602550	0.00097	0.00087	90	224.8463216910	4.5677379086	1155163237017260672	2015.0	0.741	0.665	4.70	1.00	1.603	0.042	-5.363	0.038	0.155	0	83	1.60587e+08	1.34641e+06	5.010	NOT_AVAILABLE	2.1422877497	52.0713609454
226.7785994920	2.3626116965	0.00057	0.00057	93	226.7786047094	2.3625412767	1153704047648181248	2015.0	0.198	0.360	2.51	0.52	1.251	0.036	-16.901	0.030	0.383	0	90	6.95685e+07	8.28759e+04	5.919	NOT_AVAILABLE	1.4534128210	49.1745132436
227.6313129710	11.6736210576	0.00060	0.00055	90	227.6313263003	11.6736969795	1168668263463760512	2015.0	0.323	0.348	2.49	0.46	3.133	0.034	18.221	0.028	0.361	0	85	7.48737e+07	5.91060e+04	5.839	NOT_AVAILABLE	14.4451241057	53.9208065575
228.1963967258	10.7020382119	0.00018	0.00009	0	228.1963967258	10.7020382119	1168339097169691520	2015.0	0.088	0.181							0.432	0	85	6.42082e+07	8.31789e+04	6.006	NOT_AVAILABLE	13.5233776770	52.9461795958
231.6261497330	10.0360643461	0.00069	0.00049	90	231.6260908424	10.0360063533	1165804001313408896	2015.0	0.266	0.146	1.76	0.34	-13.918	0.043	-13.918	0.031	0.638	1	259	5.71326e+07	1.28682e+05	6.133	NOT_AVAILABLE	15.3818240648	49.7091087459
222.3589805680	10.0441568054	0.00054	0.00046	90	222.3587495650	10.0438036090	1174894110616598784	2015.0	0.271	0.266	7.47	0.38	-54.591	0.031	-84.767	0.025	0.424	0	90	5.42866e+07	4.65822e+04	6.188	NOT_AVAILABLE	7.0189541099	57.3800422246
221.3397833230	10.5989968468	0.00069	0.00064	90	221.3397207367	10.5990185844	1175183247815691136	2015.0	0.201	0.187	5.62	0.25	-14.764	0.044	5.217	0.041	0.504	0	83	3.87799e+07	1.79058e+04	6.553	NOT_AVAILABLE	6.7688526693	58.5183430397
224.2986598980	16.3881284982	0.00096	0.00083	90	224.2986466603	16.3881094659	1187965551524424192	2015.0	0.774	0.666	5.23	0.86	-3.048	0.038	-4.568	0.033	0.499	0	46	1.08003e+08	5.41140e+05	5.441	NOT_AVAILABLE	19.2158387980	58.9964592162
224.5673935170	14.0376073090	0.00065	0.00056	90	224.5672606950	14.0376420016	1182157003394016128	2015.0	0.264	0.229	4.52	0.28	-30.925	0.040	8.326	0.034	0.581	0	84	5.04304e+07	3.42479e+04	6.268	NOT_AVAILABLE	15.4630190809	57.6869719382
236.8218969448	14.1155508864	0.00026	0.00022	90	236.8218969448	14.1155508864	1192628133661502080	2015.0	0.259	0.219							0.187	0	269	8.21474e+07	2.06917e+05	5.738	NOT_AVAILABLE	24.3785010435	47.0939589410
238.2338149680	17.4031483840	0.00059	0.00059	-0	238.2335742996	17.4031116603	1196546861821854464	2015.0	0.182	0.154	5.06	0.28	-55.116	0.037	-8.814	0.038	0.414	0	176	7.55358e+07	1.13831e+05	5.829	NOT_AVAILABLE	29.6060946266	47.1348531419
234.1221450136	16.1190631604	0.00025	0.00018	0	234.1221450136	16.1190631604	1195417152279361920	2015.0	0.178	0.245							0.273	0	72	7.38158e+07	3.18592e+05	5.854	NOT_AVAILABLE	25.5402960298	50.2906247229
240.3094466762	17.8190493435	0.00035	0.00034	90	240.3094466762	17.8190493435	1199629651907975296	2015.0	0.345	0.336							0.079	0	172	1.73745e+08	1.21750e+06	4.925	NOT_AVAILABLE	31.1995232857	45.4390794464
243.8693125970	18.8080875155	0.00060	0.00059	0	243.8690102127	18.8077358189	1201381758046575360	2015.0	0.434	0.465	10.08	0.60	-68.697	0.027	-84.407	0.025	0.408	0	137	1.12907e+08	4.89525e+05	5.393	NOT_AVAILABLE	34.1266686778	42.6158430291
245.0178138160	21.1326122103	0.00043	0.00037	0	245.0177044096	21.1323988159	1202356784342710400	2015.0	0.221	0.298	10.00	0.36	-24.492	0.019	-51.215	0.020	0.371	0	169	8.26978e+07	1.66652e+05	5.731	NOT_AVAILABLE	37.5837786985	42.3507751406
229.6020549989	20.5726701213	0.00058	0.00048	90	229.6020549989	20.5726701213	1214075516710163968	2015.0	0.579	0.477							-0.003	0	43	1.13675e+08	8.52026e+05	5.386	NOT_AVAILABLE	29.9316762113	55.8861380007
233.8881172827	17.6554984175	0.00025	0.00013	0	233.8881172827	17.6554984175	1209268520593219456	2015.0	0.128	0.253							0.369	0	56	7.95810e+07	2.26790e+05	5.773	NOT_AVAILABLE	27.6474922400	51.0835693171
232.3004836030	16.3956178423	0.00067	0.00065	90	232.3003434563	16.3958712484	1207584721614160256	2015.0	0.461	0.478	7.19	0.82	-32.267	0.032	60.817	0.030	0.233	0	58	6.24580e+07	1.66193e+05	6.036	NOT_AVAILABLE	24.8438127010	52.0066170815
239.3965180661	26.8776259476	0.00056	0.00053	0	239.3965180661	26.8776259476	1220404649237162880	2015.0	0.532	0.562							0.047	0	211	3.31260e+08	4.36465e+06	4.224	NOT_AVAILABLE	43.6525144226	48.7830047349
231.9119713300	25.1016230971	0.00065	0.00061	90	231.9119960585	25.1015643284	1222055531586726656	2015.0	0.505	0.442	3.58	0.82	5.374	0.027	-14.105	0.028	0.683	0	460	1.35715e+08	3.30023e+05	5.193	NOT_AVAILABLE	38.6267097869	55.0151241680
237.1200130410	22.4154673596	0.00056	0.00054	-0	237.1198745046	22.4153142808	1216937785995682176	2015.0	0.378	0.363	6.65	0.57	-30.737	0.026	-36.739	0.029	0.507	1	120	4.37765e+07	3.10579e+04	6.422	NOT_AVAILABLE	36.2563655609	49.7385866943
208.9583066530	14.0565019736	0.00042	0.00037	90	208.9570572706	14.0565383114	1230899968760552960	2015.0	0.237	0.197	40.66	0.33	-290.873	0.023	8.720	0.021	0.556	0	116	6.44825e+07	1.11711e+05	6.001	NOT_AVAILABLE	355.1064777083	70.0913953557
212.6807121410	15.2907522505	0.00066	0.00057	90	212.6806465518	15.2907352409	1230536339649301248	2015.0	0.358	0.270	2.45	0.34	-15.184	0.037	-4.082	0.033	0.713	0	67	4.66621e+07	3.59851e+04	6.352	NOT_AVAILABLE	4.2310253431	68.1056407276
219.5582812850	18.2983779190	0.00057	0.00052	90	219.5581547258	18.2981071936	1235912092515570688	2015.0	0.404	0.328	8.77	0.45	-28.838	0.026	-64.974	0.027	0.396	0	76	8.31544e+07	3.18901e+06	5.725	NOT_AVAILABLE	18.8068696272	63.9038055434
224.4367865523	18.9869495116	0.00021	0.00013	0	224.4367865523	18.9869495116	1236944637013271808	2015.0	0.132	0.214							0.393	0	61	4.83887e+07	3.02578e+04	6.313	NOT_AVAILABLE	24.0056116271	59.9186739762
208.3038754860	17.9328681506	0.00084	0.00080	90	208.3037239222	17.9328900195	1244803499452019968	2015.0	0.356	0.334	5.16	0.66	-34.608	0.051	5.249	0.049	-0.066	0	166	1.05784e+08	2.99364e+05	5.464	NOT_AVAILABLE	3.2968186295	73.0526650854
205.1684124690	19.9558159429	0.00177	0.00075	90	205.1684124690	19.9558159429	1249218141721236736	2015.0	1.767	0.746							-0.971	0	55	7.84166e+07	2.33551e+05	5.789	NOT_AVAILABLE	3.0795818116	76.6417713297
215.7776966958	25.3384456877	0.00023	0.00021	0	215.7776966958	25.3384456877	1255848884027753216	2015.0	0.210	0.225							0.162	0	69	5.86937e+07	9.59822e+04	6.103	NOT_AVAILABLE	33.1433674055	69.3930252640
214.1368477280	20.1218460898	0.00056	0.00052	90	214.1362463341	20.1214511119	1252050655468598016	2015.0	0.244	0.283	29.68	0.47	-135.525	0.034	-94.795	0.029	0.004	0	128	5.06775e+07	4.31310e+04	6.263	NOT_AVAILABLE	17.6958384880	69.3206309874
225.2178200490	22.0455877615	0.00050	0.00045	90	225.2177998650	22.0456120208	1261944061095322496	2015.0	0.350	0.258	4.49	0.45	-4.490	0.024	5.822	0.025	0.867	0	179	7.28496e+07	7.03668e+04	5.869	NOT_AVAILABLE	30.2816395289	60.2239123671
222.3117917770	25.1508914529	0.00049	0.00040	90	222.3117111232	25.1508400097	1267229997605596416	2015.0	0.232	0.221	3.87	0.46	-17.522	0.028	-12.346	0.023	0.571	0	276	5.79906e+07	1.91199e+04	6.116	NOT_AVAILABLE	35.3552884375	63.5459918166
229.8751983050	32.5149019569	0.00106	0.00062	90	229.8750090206	32.5149266812	1278064722624857472	2015.0	0.886	0.489	11.36	0.60	-38.307	0.039	5.934	0.025	0.710	1	74	4.97229e+07	4.75338e+04	6.283	NOT_AVAILABLE	51.5844401538	57.6013565812
234.2226171910	29.9911843286	0.00047	0.00036	0	234.2230447481	29.9909484986	1273169009667524608	2015.0	0.187	0.281	28.59	0.31	88.874	0.020	-56.599	0.025	0.510	0	64	4.77166e+07	3.61980e+04	6.328	NOT_AVAILABLE	47.4736642253	53.7511135199
229.4711298620	33.5943298312	0.00046	0.00038	-0	229.4711999716	33.5943281892	1278378701913958912	2015.0	0.172	0.224	5.91	0.28	14.016	0.023	-0.394	0.027	0.301	0	216	4.67006e+07	1.46657e+04	6.351	NOT_AVAILABLE	53.6156855706	57.9266753967
222.4933272810	28.6158316913	0.00064	0.00048	-0	222.4934141068	28.6158287733	1281505644263769472	2015.0	0.381	0.507	8.96	0.79	18.293	0.020	-0.700	0.026	0.474	0	186	7.67270e+07	1.71619e+05	5.812	NOT_AVAILABLE	43.1596793607	63.8279625121
218.0839711380	26.6771685638	0.00106	0.00105	0	218.0839711380	26.6771685638	1280208735939184000	2015.0	1.054	1.060							-0.007	0	116	6.72664e+07	6.01072e+04	5.955	NOT_AVAILABLE	37.5828337611	67.5387296233
225.6276449563	31.6839322575	0.00036	0.00036	90	225.6276449563	31.6839322575	1288295712681053056	2015.0	0.363	0.358							0.281	0	210	1.68235e+08	9.16083e+05	4.960	NOT_AVAILABLE	49.9732678342	61.2019076448
222.2780948590	37.8111801210	0.00044	0.00040	0	222.2767582246	37.8116383576	1294674907346517120	2015.0	0.257	0.288	24.03	0.35	-253.437	0.020	109.975	0.022	0.450	0	208	6.26843e+07	8.08212e+04	6.032	NOT_AVAILABLE	63.7877720470	63.1269975727
247.5545605054	21.4895474984	0.00171	0.00153	0	247.5545605054	21.4895474984	1297565458992032896	2015.0	1.533	1.706							-0.106	0	57	6.30227e+08	1.75645e+07	3.526	NOT_AVAILABLE	39.0074703648	40.2132815164
249.4069245250	22.4448750845	0.00057	0.00055	90	249.4068953766	22.4448458390	1297871668685435392	2015.0	0.327	0.315	2.87	0.47	-6.466	0.031	-7.019	0.030	-0.034	0	172	1.10275e+08	2.89533e+05	5.419	NOT_AVAILABLE	40.8661236456	38.8681556336
249.8414438460	22.0059663890	0.00057	0.00056	97	249.8412483987	22.0055966224	1297796489582220672	2015.0	0.145	0.185	3.87	0.25	-43.490	0.036	-88.744	0.036	0.049	0	101	5.22548e+07	3.28803e+04	6.229	NOT_AVAILABLE	40.4870684718	38.3515542183
252.6622998045	29.8065293035	0.00248	0.00194	90	252.6622998045	29.8065293035	1311291899592484992	2015.0	2.481	1.942							-0.210	0	29	1.57271e+08	2.20996e+06	5.033	NOT_AVAILABLE	50.9114222567	37.9578580417
253.7590043130	25.7306805522	0.00054	0.00036	0	253.7590900572	25.7305991286	1306215553190981632	2015.0	0.249	0.393	8.23	0.48	18.538	0.017	-19.542	0.025	0.284	0	204	8.03290e+07	1.06096e+05	5.763	NOT_AVAILABLE	46.2687978950	36.0067794551
252.6797898960	32.5536679320	0.00055	0.00040	-0	252.6799053600	32.5538538750	1314105579911805056	2015.0	0.258	0.379	10.63	0.34	23.358	0.020	44.626	0.027	0.527	0	176	7.70459e+07	1.23454e+05	5.808	NOT_AVAILABLE	54.3409634350	38.4970854563
254.9704433450	27.3159343277	0.00059	0.00058	76	254.9703096376	27.3159444940	1306832894610466432	2015.0	0.413	0.309	2.40	0.39	-28.511	0.028	2.440	0.033	-0.404	1	58	6.75379e+07	2.41128e+05	5.951	NOT_AVAILABLE	48.5079875457	35.3894191616
243.9471763390	27.4220820914	0.00053	0.00031	0	243.9470145945	27.4219198645	1315865313912883200	2015.0	0.219	0.396	6.74	0.45	-34.457	0.015	-38.934	0.023	0.309	0	192	9.08881e+07	1.58675e+05	5.629	NOT_AVAILABLE	45.6309405252	44.9278468655
242.5163097340	26.7427479241	0.00056	0.00045	0	242.5162243934	26.7429015634	1315900154687012608	2015.0	0.168	0.215	7.11	0.23	-18.291	0.028	36.873	0.035	0.426	0	166	5.31795e+07	3.64851e+04	6.210	NOT_AVAILABLE	44.3017322198	46.0302804545
240.1771588420	31.5682377616	0.00078	0.00068	0	240.1774826223	31.5680057384	1321449355512658176	2015.0	0.154	0.182	7.20	0.22	66.208	0.044	-55.686	0.051	0.161	0	156	5.23516e+07	3.21190e+04	6.227	NOT_AVAILABLE	50.8513432224	48.8314870380
243.6702194410	33.8586117201	0.00130	0.00100	0	243.6688771169	33.8582505732	1328866557875911424	2015.0	0.597	0.759	44.03	0.91	-267.525	0.054	-86.677	0.070	0.154	0	75	1.08523e+08	7.00686e+05	5.436	NOT_AVAILABLE	54.6663765574	46.1422409044
246.3507037890	37.3940433040	0.00072	0.00053	0	246.3507263500	37.3939827394	1331198072281107456	2015.0	0.377	0.548	12.21	0.54	4.302	0.024	-14.535	0.032	0.215	0	108	9.89342e+07	4.04381e+05	5.536	NOT_AVAILABLE	59.9021687258	44.2337615911
250.7675959400	36.5096428383	0.00062	0.00050	0	250.7675928923	36.5096775460	1328050892045289216	2015.0	0.265	0.310	2.36	0.28	-0.588	0.028	8.330	0.036	0.511	0	114	5.62899e+07	3.71329e+04	6.149	NOT_AVAILABLE	59.1135187882	40.6421724546
255.4015199596	33.5682704906	0.00071	0.00068	0	255.4015199596	33.5682704906	1337664059647835776	2015.0	0.679	0.709							0.212	0	57	8.96532e+07	4.51141e+06	5.643	NOT_AVAILABLE	56.1332849052	36.4456496915
261.6922716520	34.6958013405	0.00043	0.00042	90	261.6921282240	34.6959806320	1335756406972810240	2015.0	0.326	0.298	10.73	0.38	-28.302	0.019	43.030	0.020	-0.092	0	138	6.62719e+07	1.20690e+05	5.971	NOT_AVAILABLE	58.7672425891	31.5861577345
255.9732390610	34.7902227539	0.00045	0.00041	90	255.9729292135	34.7901982608	1338021469644821376	2015.0	0.331	0.274	17.80	0.37	-61.071	0.021	-5.878	0.020	-0.232	0	107	6.08355e+07	1.65582e+05	6.064	NOT_AVAILABLE	57.7323045706	36.2069494067
255.8590150460	34.3834860632	0.00056	0.00044	-0	255.8590599478	34.3835126392	1337996146517656704	2015.0	0.198	0.226	4.25	0.25	8.893	0.026	6.378	0.034	0.170	1	154	5.19467e+07	2.40087e+04	6.236	NOT_AVAILABLE	57.2155095361	36.2252975638
266.4935363570	39.3225375982	0.00058	0.00056	90	266.4935636231	39.3225962453	1342915361539884032	2015.0	0.271	0.226	3.80	0.26	5.062	0.035	14.075	0.034	0.283	0	130	7.07639e+07	5.48856e+04	5.900	NOT_AVAILABLE	64.9748247665	28.8779746079
268.0037862430	46.6435740201	0.00062	0.00057	-0	268.0039645265	46.6430911504	1350858370978461184	2015.0	0.213	0.221	8.98	0.23	29.375	0.035	-115.889	0.039	0.159	0	120	6.36606e+07	1.13354e+05	6.015	NOT_AVAILABLE	73.4358734463	29.2220024671
266.4738416570	38.8813863164	0.00066	0.00064	90	266.4738527220	38.8812517634	1342887049115492608	2015.0	0.191	0.193	8.58	0.23	2.067	0.042	-32.293	0.040	0.013	0	127	5.49784e+07	4.64781e+04	6.174	NOT_AVAILABLE	64.4798288897	28.7943384105
269.9036288860	43.2356914583	0.00030	0.00014	0	269.9036288860	43.2356914583	1345445337799193728	2015.0	0.139	0.302							-0.319	0	79	4.84163e+07	3.25670e+04	6.312	NOT_AVAILABLE	69.9392613405	27.2400409163
250.7242123880	38.9219000753	0.00068	0.00067	0	250.7242123880	38.9219000753	1352588216301487488	2015.0	0.666	0.684							0.171	0	70	4.73298e+08	1.24199e+07	3.837	NOT_AVAILABLE	62.2805670806	40.9033565937
252.4190232010	43.4304360129	0.00055	0.00050	0	252.4189625847	43.4303957413	1357463687081982464	2015.0	0.212	0.247	5.59	0.24	-10.565	0.030	-9.665	0.033	0.289	0	144	8.29515e+07	1.80308e+05	5.728	NOT_AVAILABLE	68.2785161773	39.8611642576
252.6503928390	41.8964989168	0.00054	0.00051	-0	252.6499942714	41.8967599034	1356347064304294272	2015.0	0.241	0.193	8.07	0.24	-71.202	0.030	62.637	0.034	0.148	0	120	6.95744e+07	1.00960e+05	5.919	NOT_AVAILABLE	66.2943038661	39.6300498424
257.9160547030	45.3244450067	0.00063	0.00056	-0	257.9160756937	45.3244109699	1364612952204555008	2015.0	0.299	0.356	2.95	0.31	3.542	0.032	-8.169	0.035	0.452	0	124	7.83893e+07	1.64864e+05	5.789	NOT_AVAILABLE	70.9089215504	36.0251200517
258.6238778930	45.1869947452	0.00715	0.00710	90	258.6239011917	45.1869637010	1361594311749625216	2015.0	0.482	0.613	2.68	0.57	3.941	0.475	-7.451	0.472	0.260	0	108	5.85116e+07	2.43553e+05	6.107	NOT_AVAILABLE	70.7838095084	35.5183082108
260.1407148840	48.1887852839	0.00075	0.00071	90	260.1419746378	48.1887615923	1365907524067070592	2015.0	0.433	0.341	27.72	0.44	201.564	0.041	-5.688	0.042	-0.051	0	108	5.62536e+07	4.22928e+04	6.149	NOT_AVAILABLE	74.5300554290	34.6808389119
264.8056209610	46.1549716799	0.00080	0.00075	0	264.8056657240	46.1549906924	1362464128525938560	2015.0	0.395	0.500	2.20	0.49	7.442	0.042	4.563	0.041	0.025	0	120	4.83967e+07	1.43678e+05	6.313	NOT_AVAILABLE	72.4874160973	31.3271290807
239.7404643430	36.6437747164	0.00118	0.00071	-0	239.7405792757	36.6438922548	1373182545831168768	2015.0	0.577	0.986	4.64	0.88	22.132	0.028	28.209	0.044	0.318	0	174	1.56202e+08	8.79848e+05	5.041	NOT_AVAILABLE	58.5716923351	49.4854522629
238.9482794480	37.9469562277	0.00099	0.00075	0	238.9484361156	37.9472869367	1373540058908646272	2015.0	0.615	0.823	22.99	0.90	29.651	0.028	79.370	0.036	0.329	0	159	8.81535e+07	2.70965e+06	5.662	NOT_AVAILABLE	60.6036272011	50.0981509418
234.7035486470	34.6750382067	0.00046	0.00036	-0	234.7035135956	34.6749686714	1374185884551131904	2015.0	0.210	0.310	7.89	0.33	-6.918	0.020	-16.688	0.022	0.291	1	159	7.98580e+07	1.14973e+05	5.769	NOT_AVAILABLE	55.4074743239	53.5785797589
239.3742671790	39.6950852598	0.00054	0.00047	0	239.3739083965	39.6952928040	1382673598921445504	2015.0	0.278	0.365	9.13	0.39	-66.256	0.025	49.810	0.026	-0.066	0	77	6.95083e+07	6.38814e+04	5.920	NOT_AVAILABLE	63.2900340098	49.6851978213
244.1935119518	40.0384705150	0.00032	0.00018	0	244.1935119518	40.0384705150	1380675751940355712	2015.0	0.180	0.317							0.007	0	93	6.06412e+07	5.07934e+04	6.068	NOT_AVAILABLE	63.5946000860	45.9761808611
242.6013102700	43.8176450267	0.00054	0.00049	-0	242.6020760669	43.8164032623	1385293803850022528	2015.0	0.212	0.223	55.93	0.24	132.614	0.030	-298.024	0.032	0.159	0	156	4.78439e+07	2.26192e+04	6.325	NOT_AVAILABLE	69.1685457309	46.9444840950
232.7323902609	40.8330134042	0.00055	0.00049	0	232.7323902609	40.8330134042	1389780498485737856	2015.0	0.492	0.549							0.034	0	139	2.45688e+08	2.50390e+06	4.549	NOT_AVAILABLE	66.1096276137	54.5821155802
230.6557231799	39.5814033070	0.00048	0.00040	0	230.6557231799	39.5814033070	1388904874913199744	2015.0	0.400	0.476							0.055	0	115	1.67470e+08	1.05892e+06	4.965	NOT_AVAILABLE	64.4252166865	56.3627084214
234.7453494010	46.9265582777	0.00059	0.00056	90	234.7452942082	46.9264727224	1400865602918157312	2015.0	0.213	0.237	2.75	0.25	-9.046	0.037	-20.533	0.034	0.162	0	154	7.21269e+07	6.95458e+04	5.880	NOT_AVAILABLE	75.4639486755	51.7746297049
239.7683164420	49.8810440992	0.00081	0.00036	-0	239.7684561880	49.8808140521	1403076617722492672	2015.0	0.252	0.661	21.13	0.79	21.612	0.017	-55.211	0.031	0.111	1	73	6.62423e+07	1.43052e+05	5.972	NOT_AVAILABLE	78.4912073706	47.7722046825
236.9431959600	45.7328816389	0.00073	0.00064	0	236.9430389582	45.7328821136	1397888469027761920	2015.0	0.178	0.228	4.42	0.23	-26.301	0.041	0.114	0.046	0.122	0	146	4.76101e+07	2.78889e+04	6.331	NOT_AVAILABLE	73.0159173196	50.6025935448
246.6329452454	47.9581282892	0.00012	0.00007	0	246.6329452454	47.9581282892	1410923389828482432	2015.0	0.065	0.123							-0.196	0	117	5.59228e+07	5.82252e+04	6.156	NOT_AVAILABLE	74.5832535711	43.6984975101
256.8432398690	48.3993271893	0.00064	0.00063	0	256.8430342150	48.3995167872	1408146431478884864	2015.0	0.210	0.227	7.47	0.24	-32.770	0.039	45.503	0.040	0.229	0	95	5.13417e+07	2.42793e+04	6.249	NOT_AVAILABLE	74.6925963003	36.8816221128
252.4975024680	46.6490759577	0.00084	0.00081	90	252.4973659027	46.6492314316	1407713430055433728	2015.0	0.196	0.209	4.43	0.21	-22.499	0.054	37.314	0.052	0.120	0	101	4.90173e+07	2.34025e+04	6.299	NOT_AVAILABLE	72.4713238669	39.8205380498
262.6080654966	52.3014405877	0.00204	0.00129	0	262.6080654966	52.3014405877	1415230378737877120	2015.0	1.291	2.038							-0.172	0	82	6.03904e+08	1.06717e+07	3.572	NOT_AVAILABLE	79.5790193134	33.3103237199
265.9965698350	53.8017113656	0.00078	0.00071	90	265.9966676100	53.8016364835	1416872018318404224	2015.0	0.542	0.476	6.05	0.58	13.859	0.037	-17.972	0.035	0.188	0	121	7.89197e+07	2.21223e+05	5.782	NOT_AVAILABLE	81.4876145618	31.3616678910
268.8485596990	55.9713923377	0.00063	0.00056	90	268.8488225713	55.9719085533	1418298737733673728	2015.0	0.239	0.220	18.00	0.22	35.305	0.039	123.892	0.035	-0.273	0	114	6.41513e+07	1.38877e+05	6.007	NOT_AVAILABLE	84.1533317383	29.8993888491
248.4966047020	52.2379617137	0.00057	0.00052	0	248.4966386615	52.2379761881	1424190814389679360	2015.0	0.226	0.235	3.88	0.24	4.991	0.031	3.474	0.035	0.137	0	62	4.06824e+07	2.38034e+04	6.501	NOT_AVAILABLE	80.1360412797	41.9210603732
245.1024022090	52.0390319823	0.00054	0.00049	0	245.1025092389	52.0390110323	1424733251578113792	2015.0	0.333	0.404	7.88	0.41	15.801	0.024	-5.028	0.024	0.241	0	96	3.59604e+07	1.87659e+04	6.635	NOT_AVAILABLE	80.3896442419	44.0052659520
245.4009593250	56.8770856765	0.00072	0.00068	90	245.4009150292	56.8771355880	1429866699569499392	2015.0	0.216	0.262	1.14	0.27	-5.809	0.046	11.979	0.042	-0.083	0	83	3.59437e+07	5.37720e+04	6.636	NOT_AVAILABLE	86.7858319607	42.6611776362
263.7505206815	61.8725706877	0.00166	0.00103	0	263.7505206815	61.8725706877	1439121014062603008	2015.0	1.033	1.660							-0.128	0	122	1.44298e+08	8.71383e+05	5.127	NOT_AVAILABLE	90.9906526786	32.6486372041
261.4223061030	60.0483982494	0.00047	0.00044	90	261.4222344356	60.0484970398	1435825021800874368	2015.0	0.346	0.311	9.62	0.33	-8.588	0.021	23.710	0.021	0.167	0	125	8.51021e+07	3.38352e+05	5.700	NOT_AVAILABLE	88.8909435334	33.8820580691
256.9518104790	55.7681227595	0.00086	0.00080	94	256.9518245357	55.7682863874	1432365099225772800	2015.0	0.169	0.270	6.68	0.21	1.898	0.052	39.271	0.054	-0.041	0	83	4.25436e+07	7.62753e+04	6.453	NOT_AVAILABLE	83.8814404929	36.5654397674
204.2460553238	24.6132848468	0.00031	0.00025	90	204.2460553238	24.6132848468	1444749418380196736	2015.0	0.306	0.251							0.019	1	173	1.80316e+08	8.88952e+05	4.885	NOT_AVAILABLE	21.6763207877	79.4549104994
203.2011870024	24.3459436845	0.00026	0.00018	90	203.2011870024	24.3459436845	1444837860346898816	2015.0	0.260	0.180							0.108	1	63	8.02681e+07	1.46228e+05	5.763	NOT_AVAILABLE	18.5980582986	80.2813953576
207.7883992630	34.6643979573	0.00057	0.00051	90	207.7884511616	34.6641716455	1459096357200470528	2015.0	0.431	0.395	4.11	0.78	10.245	0.025	-54.315	0.022	0.144	1	290	1.50761e+08	5.69675e+05	5.079	NOT_AVAILABLE	67.0957207362	75.1621326964
207.1613965890	31.1902066753	0.00062	0.00039	90	207.1613691762	31.1903645430	1457268968875170176	2015.0	0.508	0.295	11.21	0.60	-5.628	0.024	37.888	0.017	0.057	0	218	1.25336e+08	3.32415e+05	5.280	NOT_AVAILABLE	54.3579093928	76.8787980549
